audio files name,transcriptions
audiofile/knf_00557_01097230618.wav,ಪರ್ವತಗಳು ವಾಯುವಿಗನುಗುಣವಾಗಿ ಕಂಪಿಸುವುವು.
audiofile/knf_03271_01629528503.wav,ಚಿತ್ರವನ್ನು ಕೆಲವೊಮ್ಮೆ ವಾರ್ನಿಷ್ ಅಥವಾ ಕೆಲವು ಇತರ ಮುದ್ರಕಗಳನ್ನು ರಕ್ಷಣೆಯಾಗಿ ಲೇಪನ ಮಾಡಲಾಗುತ್ತದೆ.
audiofile/knf_03574_00145342156.wav,ಹಚ್ಚುವ ಮೊದಲು ಲೋಹಗಳ ಮೈಯನ್ನು ಉಜ್ಜಿ ಒರಟು ಮಾಡುವುದು ಒಳ್ಳೆಯದು.
audiofile/knf_00557_01945435360.wav,ಹೂಗೊಂಚಲಿನಲ್ಲಿ ಹೆಣ್ಣು ಹೂಗಳು ಮಾತ್ರವಿದೆ
audiofile/knf_02173_02031667415.wav,ನಾಲ್ನೂರು ಗಜಗಳಲ್ಲಿ
audiofile/knf_00001_01610070590.wav,ಒಂದು ಸಾರ್ತಿ ಈ ಪಾರ್ಶ್ವಚಿತ್ರ ನಿರ್ಮಾಣವಾದ ನಂತರ
audiofile/knf_08476_01140084904.wav,ಪರಿಸ್ಥಿತಿ ಹೀಗಿದ್ದರೂ ದ್ವಿತೀಯ ಅಂತಾರಾಷ್ಟ್ರೀಯವು ಶ್ರಮಜೀವಿಗಳ ಅನೇಕ ಹೋರಾಟಗಳಲ್ಲಿ ಜಯಗಳಿಸಿ ಕಾರ್ಮಿಕ ಚಳವಳಿಯನ್ನು ಪ್ರಭಾವಶಾಲಿಯನ್ನಾಗಿ ಮಾಡಿತು
audiofile/knf_09696_02009165869.wav,ಹವಾಮಾನ ಅನನಕೂಲವಾಗಿದ್ದರೆ ಇವುಗಳನ್ನು ಒಂದು ದಿನದಲ್ಲಿ ಪೂರ್ಣಗೊಳಿಸುವುದಿಲ್ಲ.
audiofile/knf_05550_01010202503.wav,"ಅಂತರಿಕ್ಷಯಾನ ಇಂಜಿನಿಯರುಗಳು, ನಾಗರಿಕ ವಿಮಾನಯಾನ"
audiofile/knf_02049_01735356079.wav,ಇದರಿಂದಾಗಿ ದ್ವಿತೀಯ ಅಂತಾರಾಷ್ಟ್ರೀಯ ಅವಸಾನಗೊಂಡಿತು.
audiofile/knf_00254_01541969378.wav,ಸರ್ಕಾರದ ಖಜಾನೆಯ ಇಷ್ಟಾನುಸಾರವಾಗಿ ಹೆಚ್ಚು ವ್ಯಾಪಕವಾದ ಬಹಿರಂಗಪಡಿಸುವಿಕೆಯ ಅವಶ್ಯಕತೆಯು ಕಂಡುಬರಬಹುದು.
audiofile/knf_00254_00142887464.wav,ನೈಟ್ರೋಜನ್ನಿನ ಕೊರತೆಯ ತೀವ್ರತೆಯನ್ನು ಕಂಡುಕೊಳ್ಳಬೇಕಾದರೆ ಅದರ ಅಂಶ ಸಸ್ಯಾಂಗದ ಯಾವ ಭಾಗದಲ್ಲಿ ಪ್ರಪ್ರಥಮ ಕಡಿಮೆಯಾಗಿರುತ್ತದೆಯೋ ಅಲ್ಲಿ ಪರೀಕ್ಷೆ ಮಾಡಬೇಕು.
audiofile/knf_00001_00977247973.wav,ರಾಷ್ಟ್ರೀಯ ಹಾಗೂ ಅಂತರರಾಷ್ಟ್ರೀಯ ನಿಯತಕಾಲಿಕಗಳು ಸಿಗುತ್ತವೆ.
audiofile/knf_01779_02024713720.wav,ಅಂತರಜಾಲ ಸೌಲಭ್ಯ ಇಲ್ಲದವರಿಗೆ ಅಂತಾರಾಷ್ಟ್ರೀಯ ಧನಾದೇಶ ಸ್ವೀಕೃತಿ
